"ID","Metadata","Localized Name"
"actuallyadditions:emeraldPaxel","0","Emerald AIOT"
"actuallyadditions:goldPaxel","0","Golden AIOT"
"actuallyadditions:ironPaxel","0","Iron AIOT"
"actuallyadditions:itemAxeCrystalBlack","0","Void Crystal Axe"
"actuallyadditions:itemAxeCrystalBlue","0","Palis Crystal Axe"
"actuallyadditions:itemAxeCrystalGreen","0","Emeradic Crystal Axe"
"actuallyadditions:itemAxeCrystalLightBlue","0","Diamatine Crystal Axe"
"actuallyadditions:itemAxeCrystalRed","0","Restonia Crystal Axe"
"actuallyadditions:itemAxeCrystalWhite","0","Enori Crystal Axe"
"actuallyadditions:itemAxeEmerald","0","Emerald Axe"
"actuallyadditions:itemAxeObsidian","0","Obsidian Axe"
"actuallyadditions:itemAxeQuartz","0","Black Quartz Axe"
"actuallyadditions:itemBag","0","Traveler's Sack"
"actuallyadditions:itemBattery","0","Single Battery"
"actuallyadditions:itemBattery","0","Single Battery"
"actuallyadditions:itemBatteryDouble","0","Double Battery"
"actuallyadditions:itemBatteryDouble","0","Double Battery"
"actuallyadditions:itemBatteryQuadruple","0","Quadruple Battery"
"actuallyadditions:itemBatteryQuadruple","0","Quadruple Battery"
"actuallyadditions:itemBatteryQuintuple","0","Quintuple Battery"
"actuallyadditions:itemBatteryQuintuple","0","Quintuple Battery"
"actuallyadditions:itemBatteryTriple","0","Triple Battery"
"actuallyadditions:itemBatteryTriple","0","Triple Battery"
"actuallyadditions:itemBooklet","0","Actually Additions Manual"
"actuallyadditions:itemBootsCrystalBlack","0","Void Crystal Boots"
"actuallyadditions:itemBootsCrystalBlue","0","Palis Crystal Boots"
"actuallyadditions:itemBootsCrystalGreen","0","Emeradic Crystal Boots"
"actuallyadditions:itemBootsCrystalLightBlue","0","Diamatine Crystal Boots"
"actuallyadditions:itemBootsCrystalRed","0","Restonia Crystal Boots"
"actuallyadditions:itemBootsCrystalWhite","0","Enori Crystal Boots"
"actuallyadditions:itemBootsEmerald","0","Emerald Boots"
"actuallyadditions:itemBootsObsidian","0","Obsidian Boots"
"actuallyadditions:itemBootsQuartz","0","Black Quartz Boots"
"actuallyadditions:itemCanolaSeed","0","Canola Seeds"
"actuallyadditions:itemChestCrystalBlack","0","Void Crystal Chestplate"
"actuallyadditions:itemChestCrystalBlue","0","Palis Crystal Chestplate"
"actuallyadditions:itemChestCrystalGreen","0","Emeradic Crystal Chest"
"actuallyadditions:itemChestCrystalLightBlue","0","Diamatine Crystal Chestplate"
"actuallyadditions:itemChestCrystalRed","0","Restonia Crystal Chestplate"
"actuallyadditions:itemChestCrystalWhite","0","Enori Crystal Chest"
"actuallyadditions:itemChestEmerald","0","Emerald Chestplate"
"actuallyadditions:itemChestObsidian","0","Obsidian Chestplate"
"actuallyadditions:itemChestQuartz","0","Black Quartz Chestplate"
"actuallyadditions:itemChestToCrateUpgrade","0","Chest To Storage Crate Upgrade"
"actuallyadditions:itemCoffee","0","Cup with Coffee"
"actuallyadditions:itemCoffeeBeans","0","Coffee Beans"
"actuallyadditions:itemCoffeeSeed","0","Coffee Seeds"
"actuallyadditions:itemColorLens","0","Lens of Color"
"actuallyadditions:itemCrafterOnAStick","0","Crafting Table On A Stick"
"actuallyadditions:itemCrateKeeper","0","Storage Crate Keeper"
"actuallyadditions:itemCrystal","0","Restonia Crystal"
"actuallyadditions:itemCrystal","1","Palis Crystal"
"actuallyadditions:itemCrystal","2","Diamatine Crystal"
"actuallyadditions:itemCrystal","3","Void Crystal"
"actuallyadditions:itemCrystal","4","Emeradic Crystal"
"actuallyadditions:itemCrystal","5","Enori Crystal"
"actuallyadditions:itemCrystalEmpowered","0","Empowered Restonia Crystal"
"actuallyadditions:itemCrystalEmpowered","1","Empowered Palis Crystal"
"actuallyadditions:itemCrystalEmpowered","2","Empowered Diamatine Crystal"
"actuallyadditions:itemCrystalEmpowered","3","Empowered Void Crystal"
"actuallyadditions:itemCrystalEmpowered","4","Empowered Emeradic Crystal"
"actuallyadditions:itemCrystalEmpowered","5","Empowered Enori Crystal"
"actuallyadditions:itemDamageLens","0","Lens of Certain Death"
"actuallyadditions:itemDisenchantingLens","0","Lens of Disenchanting"
"actuallyadditions:itemDrill","0","Drill"
"actuallyadditions:itemDrill","0","Drill"
"actuallyadditions:itemDrill","1","Drill"
"actuallyadditions:itemDrill","1","Drill"
"actuallyadditions:itemDrill","2","Drill"
"actuallyadditions:itemDrill","2","Drill"
"actuallyadditions:itemDrill","3","Drill"
"actuallyadditions:itemDrill","3","Drill"
"actuallyadditions:itemDrill","4","Drill"
"actuallyadditions:itemDrill","4","Drill"
"actuallyadditions:itemDrill","5","Drill"
"actuallyadditions:itemDrill","5","Drill"
"actuallyadditions:itemDrill","6","Drill"
"actuallyadditions:itemDrill","6","Drill"
"actuallyadditions:itemDrill","7","Drill"
"actuallyadditions:itemDrill","7","Drill"
"actuallyadditions:itemDrill","8","Drill"
"actuallyadditions:itemDrill","8","Drill"
"actuallyadditions:itemDrill","9","Drill"
"actuallyadditions:itemDrill","9","Drill"
"actuallyadditions:itemDrill","10","Drill"
"actuallyadditions:itemDrill","10","Drill"
"actuallyadditions:itemDrill","11","Drill"
"actuallyadditions:itemDrill","11","Drill"
"actuallyadditions:itemDrill","12","Drill"
"actuallyadditions:itemDrill","12","Drill"
"actuallyadditions:itemDrill","13","Drill"
"actuallyadditions:itemDrill","13","Drill"
"actuallyadditions:itemDrill","14","Drill"
"actuallyadditions:itemDrill","14","Drill"
"actuallyadditions:itemDrill","15","Drill"
"actuallyadditions:itemDrill","15","Drill"
"actuallyadditions:itemDrillUpgradeBlockPlacing","0","Drill Block Placing Augment"
"actuallyadditions:itemDrillUpgradeFiveByFive","0","Drill Mining Augment II"
"actuallyadditions:itemDrillUpgradeFortune","0","Drill Fortune Augment I"
"actuallyadditions:itemDrillUpgradeFortuneII","0","Drill Fortune Augment II (Gives Fortune III!)"
"actuallyadditions:itemDrillUpgradeSilkTouch","0","Drill Silk Touch Augment"
"actuallyadditions:itemDrillUpgradeSpeed","0","Drill Speed Augment I"
"actuallyadditions:itemDrillUpgradeSpeedII","0","Drill Speed Augment II"
"actuallyadditions:itemDrillUpgradeSpeedIII","0","Drill Speed Augment III"
"actuallyadditions:itemDrillUpgradeThreeByThree","0","Drill Mining Augment I"
"actuallyadditions:itemDust","0","Crushed Iron"
"actuallyadditions:itemDust","1","Crushed Gold"
"actuallyadditions:itemDust","2","Crushed Diamond"
"actuallyadditions:itemDust","3","Crushed Emerald"
"actuallyadditions:itemDust","4","Crushed Lapis"
"actuallyadditions:itemDust","5","Crushed Quartz"
"actuallyadditions:itemDust","6","Crushed Coal"
"actuallyadditions:itemDust","7","Crushed Black Quartz"
"actuallyadditions:itemExplosionLens","0","Lens of Detonation"
"actuallyadditions:itemFertilizer","0","Fertilizer"
"actuallyadditions:itemFillingWand","0","Handheld Filler"
"actuallyadditions:itemFillingWand","0","Handheld Filler"
"actuallyadditions:itemFilter","0","Item Filter"
"actuallyadditions:itemFlaxSeed","0","Flax Seeds"
"actuallyadditions:itemFood","0","Cheese"
"actuallyadditions:itemFood","1","Pumpkin Stew"
"actuallyadditions:itemFood","2","Carrot Juice"
"actuallyadditions:itemFood","3","Fish 'N' Chips"
"actuallyadditions:itemFood","4","French Fries"
"actuallyadditions:itemFood","5","French Fry"
"actuallyadditions:itemFood","6","Spaghetti"
"actuallyadditions:itemFood","7","Noodle"
"actuallyadditions:itemFood","8","Chocolate Cake"
"actuallyadditions:itemFood","9","Chocolate"
"actuallyadditions:itemFood","10","Toast"
"actuallyadditions:itemFood","11","Submarine Sandwich"
"actuallyadditions:itemFood","12","Big Cookie"
"actuallyadditions:itemFood","13","Hamburger"
"actuallyadditions:itemFood","14","Pizza"
"actuallyadditions:itemFood","15","Baguette"
"actuallyadditions:itemFood","16","Rice"
"actuallyadditions:itemFood","17","Rice Bread"
"actuallyadditions:itemFood","18","Doughnut"
"actuallyadditions:itemFood","19","Toast o' Chocolate"
"actuallyadditions:itemFood","20","Bacon"
"actuallyadditions:itemGrowthRing","0","Ring of Growth"
"actuallyadditions:itemGrowthRing","0","Ring of Growth"
"actuallyadditions:itemHairyBall","0","Ball of Fur"
"actuallyadditions:itemHelmCrystalBlack","0","Void Crystal Helmet"
"actuallyadditions:itemHelmCrystalBlue","0","Palis Crystal Helmet"
"actuallyadditions:itemHelmCrystalGreen","0","Emeradic Crystal Helmet"
"actuallyadditions:itemHelmCrystalLightBlue","0","Diamatine Crystal Helmet"
"actuallyadditions:itemHelmCrystalRed","0","Restonia Crystal Helmet"
"actuallyadditions:itemHelmCrystalWhite","0","Enori Crystal Helmet"
"actuallyadditions:itemHelmEmerald","0","Emerald Helmet"
"actuallyadditions:itemHelmObsidian","0","Obsidian Helmet"
"actuallyadditions:itemHelmQuartz","0","Black Quartz Helmet"
"actuallyadditions:itemHoeCrystalBlack","0","Void Crystal Hoe"
"actuallyadditions:itemHoeCrystalBlue","0","Palis Crystal Hoe"
"actuallyadditions:itemHoeCrystalGreen","0","Emeradic Crystal Hoe"
"actuallyadditions:itemHoeCrystalLightBlue","0","Diamatine Crystal Hoe"
"actuallyadditions:itemHoeCrystalRed","0","Restonia Crystal Hoe"
"actuallyadditions:itemHoeCrystalWhite","0","Enori Crystal Hoe"
"actuallyadditions:itemHoeEmerald","0","Emerald Hoe"
"actuallyadditions:itemHoeObsidian","0","Obsidian Hoe"
"actuallyadditions:itemHoeQuartz","0","Black Quartz Hoe"
"actuallyadditions:itemJam","0","CuBaRa-Jam"
"actuallyadditions:itemJam","1","GraKiBa-Jam"
"actuallyadditions:itemJam","2","PlApLe-Jam"
"actuallyadditions:itemJam","3","ChApCi-Jam"
"actuallyadditions:itemJam","4","HoMeKi-Jam"
"actuallyadditions:itemJam","5","PiCo-Jam"
"actuallyadditions:itemJam","6","HoMeCo-Jam"
"actuallyadditions:itemKnife","0","Knife"
"actuallyadditions:itemLaserWrench","0","Laser Wrench"
"actuallyadditions:itemLeafBlower","0","Leaf Blower"
"actuallyadditions:itemLeafBlowerAdvanced","0","Advanced Leaf Blower"
"actuallyadditions:itemMediumToLargeCrateUpgrade","0","Medium To Large Storage Crate Upgrade"
"actuallyadditions:itemMiningLens","0","Lens of the Miner"
"actuallyadditions:itemMisc","0","Paper Cone"
"actuallyadditions:itemMisc","1","Bio-Mash"
"actuallyadditions:itemMisc","2","Knife Blade"
"actuallyadditions:itemMisc","3","Knife Handle"
"actuallyadditions:itemMisc","4","Dough"
"actuallyadditions:itemMisc","5","Black Quartz"
"actuallyadditions:itemMisc","6","Ring"
"actuallyadditions:itemMisc","7","Basic Coil"
"actuallyadditions:itemMisc","8","Advanced Coil"
"actuallyadditions:itemMisc","9","Rice Dough"
"actuallyadditions:itemMisc","10","Tiny Coal"
"actuallyadditions:itemMisc","11","Tiny Charcoal"
"actuallyadditions:itemMisc","12","Rice Slimeball"
"actuallyadditions:itemMisc","13","Canola"
"actuallyadditions:itemMisc","14","Empty Cup"
"actuallyadditions:itemMisc","15","Bat's Wing"
"actuallyadditions:itemMisc","16","Drill Core"
"actuallyadditions:itemMisc","17","Black Dye"
"actuallyadditions:itemMisc","18","Lens"
"actuallyadditions:itemMisc","19","Ender Star"
"actuallyadditions:itemMisc","20","Spawner Shards"
"actuallyadditions:itemMisc","21","Biomass"
"actuallyadditions:itemMisc","22","Bio Coal"
"actuallyadditions:itemMisc","23","Crystallized Canola Seed"
"actuallyadditions:itemMisc","24","Empowered Canola Seed"
"actuallyadditions:itemMoreDamageLens","0","Lens of the Killer"
"actuallyadditions:itemPantsCrystalBlack","0","Void Crystal Pants"
"actuallyadditions:itemPantsCrystalBlue","0","Palis Crystal Pants"
"actuallyadditions:itemPantsCrystalGreen","0","Emeradic Crystal Pants"
"actuallyadditions:itemPantsCrystalLightBlue","0","Diamatine Crystal Pants"
"actuallyadditions:itemPantsCrystalRed","0","Restonia Crystal Pants"
"actuallyadditions:itemPantsCrystalWhite","0","Enori Crystal Pants"
"actuallyadditions:itemPantsEmerald","0","Emerald Pants"
"actuallyadditions:itemPantsObsidian","0","Obsidian Pants"
"actuallyadditions:itemPantsQuartz","0","Black Quartz Pants"
"actuallyadditions:itemPaxelCrystalBlack","0","Void Crystal AIOT"
"actuallyadditions:itemPaxelCrystalBlue","0","Palis Crystal AIOT"
"actuallyadditions:itemPaxelCrystalGreen","0","Emeradic Crystal AIOT"
"actuallyadditions:itemPaxelCrystalLightBlue","0","Diamatine Crystal AIOT"
"actuallyadditions:itemPaxelCrystalRed","0","Restonia Crystal AIOT"
"actuallyadditions:itemPaxelCrystalWhite","0","Enori Crystal AIOT"
"actuallyadditions:itemPhantomConnector","0","Phantom Connector"
"actuallyadditions:itemPickaxeCrystalBlack","0","Void Crystal Pickaxe"
"actuallyadditions:itemPickaxeCrystalBlue","0","Palis Crystal Pickaxe"
"actuallyadditions:itemPickaxeCrystalGreen","0","Emeradic Crystal Pickaxe"
"actuallyadditions:itemPickaxeCrystalLightBlue","0","Diamatine Crystal Pickaxe"
"actuallyadditions:itemPickaxeCrystalRed","0","Restonia Crystal Pickaxe"
"actuallyadditions:itemPickaxeCrystalWhite","0","Enori Crystal Pickaxe"
"actuallyadditions:itemPickaxeEmerald","0","Emerald Pickaxe"
"actuallyadditions:itemPickaxeObsidian","0","Obsidian Pickaxe"
"actuallyadditions:itemPickaxeQuartz","0","Black Quartz Pickaxe"
"actuallyadditions:itemPlayerProbe","0","Player Probe"
"actuallyadditions:itemPotionRing","0","Ring of Speed"
"actuallyadditions:itemPotionRing","1","Ring of Haste"
"actuallyadditions:itemPotionRing","2","Ring of Strength"
"actuallyadditions:itemPotionRing","3","Ring of Jump Boost"
"actuallyadditions:itemPotionRing","4","Ring of Regeneration"
"actuallyadditions:itemPotionRing","5","Ring of Resistance"
"actuallyadditions:itemPotionRing","6","Ring of Fire Resistance"
"actuallyadditions:itemPotionRing","7","Ring of Water Breathing"
"actuallyadditions:itemPotionRing","8","Ring of Invisibility"
"actuallyadditions:itemPotionRing","9","Ring of Night Vision"
"actuallyadditions:itemPotionRingAdvanced","0","Advanced Ring of Speed"
"actuallyadditions:itemPotionRingAdvanced","1","Advanced Ring of Haste"
"actuallyadditions:itemPotionRingAdvanced","2","Advanced Ring of Strength"
"actuallyadditions:itemPotionRingAdvanced","3","Advanced Ring of Jump Boost"
"actuallyadditions:itemPotionRingAdvanced","4","Advanced Ring of Regeneration"
"actuallyadditions:itemPotionRingAdvanced","5","Advanced Ring of Resistance"
"actuallyadditions:itemPotionRingAdvanced","6","Advanced Ring of Fire Resistance"
"actuallyadditions:itemPotionRingAdvanced","7","Advanced Ring of Water Breathing"
"actuallyadditions:itemPotionRingAdvanced","8","Advanced Ring of Invisibility"
"actuallyadditions:itemPotionRingAdvanced","9","Advanced Ring of Night Vision"
"actuallyadditions:itemResonantRice","0","Resonant Rice"
"actuallyadditions:itemRiceSeed","0","Rice Seeds"
"actuallyadditions:itemShovelCrystalBlack","0","Void Crystal Shovel"
"actuallyadditions:itemShovelCrystalBlue","0","Palis Crystal Shovel"
"actuallyadditions:itemShovelCrystalGreen","0","Emeradic Crystal Shovel"
"actuallyadditions:itemShovelCrystalLightBlue","0","Diamatine Crystal Shovel"
"actuallyadditions:itemShovelCrystalRed","0","Restonia Crystal Shovel"
"actuallyadditions:itemShovelCrystalWhite","0","Enori Crystal Shovel"
"actuallyadditions:itemShovelEmerald","0","Emerald Shovel"
"actuallyadditions:itemShovelObsidian","0","Obsidian Shovel"
"actuallyadditions:itemShovelQuartz","0","Black Quartz Shovel"
"actuallyadditions:itemSmallToMediumCrateUpgrade","0","Small To Medium Storage Crate Upgrade"
"actuallyadditions:itemSolidifiedExperience","0","Solidified Experience"
"actuallyadditions:itemSpawnerChanger","0","Spawner Changer"
"actuallyadditions:itemSuctionRing","0","Ring of Magnetizing"
"actuallyadditions:itemSuctionRing","0","Ring of Magnetizing"
"actuallyadditions:itemSwordCrystalBlack","0","Void Crystal Sword"
"actuallyadditions:itemSwordCrystalBlue","0","Palis Crystal Sword"
"actuallyadditions:itemSwordCrystalGreen","0","Emeradic Crystal Sword"
"actuallyadditions:itemSwordCrystalLightBlue","0","Diamatine Crystal Sword"
"actuallyadditions:itemSwordCrystalRed","0","Restonia Crystal Sword"
"actuallyadditions:itemSwordCrystalWhite","0","Enori Crystal Sword"
"actuallyadditions:itemSwordEmerald","0","Emerald Sword"
"actuallyadditions:itemSwordObsidian","0","Obsidian Sword"
"actuallyadditions:itemSwordQuartz","0","Black Quartz Sword"
"actuallyadditions:itemTeleStaff","0","Teleport Staff"
"actuallyadditions:itemTeleStaff","0","Teleport Staff"
"actuallyadditions:itemVoidBag","0","Void Sack"
"actuallyadditions:itemWaterBowl","0","Bowl of Water"
"actuallyadditions:itemWaterRemovalRing","0","Ring of Liquid Banning"
"actuallyadditions:itemWaterRemovalRing","0","Ring of Liquid Banning"
"actuallyadditions:itemWingsOfTheBats","0","Wings Of The Bats"
"actuallyadditions:itemWorm","0","Worm"
"actuallyadditions:obsidianPaxel","0","Obsidian AIOT"
"actuallyadditions:quartzPaxel","0","Black Quartz AIOT"
"actuallyadditions:stonePaxel","0","Stone AIOT"
"actuallyadditions:woodenPaxel","0","Wooden AIOT"
"advancedrocketry:advRocketmotor","0","Advanced Rocket Engine"
"advancedrocketry:airlock_door","0","tile.smallAirlockDoor.name"
"advancedrocketry:alienLeaves","0","Lightwood Leaves"
"advancedrocketry:alienSapling","0","Lightwood Sapling"
"advancedrocketry:alienWood","0","Wood"
"advancedrocketry:altitudeController","0","Altitude Controller"
"advancedrocketry:arcFurnace","0","Electric Arc Furnace"
"advancedrocketry:asteroidChip","0","Asteroid Chip"
"advancedrocketry:astroBed","0","tile.astroBed.name"
"advancedrocketry:atmAnalyser","0","Atmosphere Analyzer"
"advancedrocketry:basicLaserGun","0","Basic Laser Gun"
"advancedrocketry:beacon","0","Beacon"
"advancedrocketry:beaconFinder","0","Beacon Finder"
"advancedrocketry:biomeChanger","0","Biome Changer Remote"
"advancedrocketry:biomeScanner","0","Biome Scanner"
"advancedrocketry:blastBrick","0","HeatProof Brick"
"advancedrocketry:blockLens","0","Lens"
"advancedrocketry:bucketHydrogen","0","Tank of Hydrogen"
"advancedrocketry:bucketNitrogen","0","Tank of Nitrogen"
"advancedrocketry:bucketOxygen","0","Tank of Oxygen"
"advancedrocketry:bucketRocketFuel","0","Tank of Rocket Fuel"
"advancedrocketry:carbonScrubberCartridge","0","Carbon Collection Cartridge"
"advancedrocketry:charcoalLog","0","Charcoal Log"
"advancedrocketry:chemicalReactor","0","Chemical Reactor"
"advancedrocketry:circleLight","0","Station Light"
"advancedrocketry:concrete","0","Concrete"
"advancedrocketry:crystal","0","Amethyst Block"
"advancedrocketry:crystal","1","Sapphire Block"
